time_period,n_articles,avg_sentiment,pct_positive
2019,11,-4.818181818181818,54.54545454545454
2020,4,8.75,50
2021,7,-1,57.14285714285714
2022,9,17.77777777777778,88.88888888888889
2023,28,8.107142857142858,75
2024,44,22.40909090909091,90.9090909090909
2025,68,8.75,63.23529411764706
